Gain Index,FE Control Word,TIA Control,ADC Control,Ext Control,Phase Offset,Digital Gain
204,242,0,0,0,0,-19
205,242,0,0,0,0,-10
206,241,0,0,0,0,-13
207,240,0,0,0,0,-14
208,239,0,0,0,0,-16
209,238,0,0,0,0,-16
210,237,0,0,0,0,-16
211,236,0,0,0,0,-15
212,234,0,0,0,0,-22
213,233,0,0,0,0,-20
214,232,0,0,0,0,-17
215,230,0,0,0,0,-22
216,229,0,0,0,0,-19
217,227,0,0,0,0,-21
218,226,0,0,0,0,-17
219,224,0,0,0,0,-18
220,222,0,0,0,0,-18
221,220,0,0,0,0,-18
222,218,0,0,0,0,-17
223,215,0,0,0,0,-21
224,213,0,0,0,0,-19
225,210,0,0,0,0,-21
226,208,0,0,0,0,-18
227,205,0,0,0,0,-18
228,202,0,0,0,0,-18
229,199,0,0,0,0,-17
230,195,0,0,0,0,-19
231,192,0,0,0,0,-17
232,188,0,0,0,0,-16
233,184,0,0,0,0,-16
234,180,0,0,0,0,-15
235,175,0,0,0,0,-16
236,170,0,0,0,0,-15
237,165,0,0,0,0,-15
238,160,0,0,0,0,-14
239,154,0,0,0,0,-14
240,148,0,0,0,0,-13
241,142,0,0,0,0,-12
242,135,0,0,0,0,-12
243,128,0,0,0,0,-11
244,120,0,0,0,0,-10
245,112,0,0,0,0,-10
246,104,0,0,0,0,-8
247,94,0,0,0,0,-9
248,85,0,0,0,0,-7
249,75,0,0,0,0,-6
250,64,0,0,0,0,-5
251,53,0,0,0,0,-4
252,41,0,0,0,0,-3
253,28,0,0,0,0,-2
254,14,0,0,0,0,-1
255,0,0,0,0,0,0
